"Status","Year","Parent_department","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Attorney General's Departments","Wales","EO","Heterosexual / straight","55","50","27690","26900"
"In post","2023","Attorney General's Departments","Wales","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","EO","Unknown","20","15","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","G6/G7","Heterosexual / straight","140","135","55200","52880"
"In post","2023","Attorney General's Departments","Wales","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","G6/G7","Unknown","45","40","57360","56450"
"In post","2023","Attorney General's Departments","Wales","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","SEO/HEO","Heterosexual / straight","60","60","36510","38760"
"In post","2023","Attorney General's Departments","Wales","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","Wales","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","AA/AO","Heterosexual / straight","100","90","22780","22870"
"In post","2023","Attorney General's Departments","West Midlands (England)","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","AA/AO","Unknown","25","25","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","EO","Heterosexual / straight","90","85","27620","26900"
"In post","2023","Attorney General's Departments","West Midlands (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2023","Attorney General's Departments","West Midlands (England)","EO","Unknown","25","25","[c]","[c]"
