"Status","Year","Age","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","Heterosexual / straight","40","[c]","21730","21990"
"Leaver CS","2023","16-19","AA/AO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","AA/AO","Unknown","95","[c]","21740","21780"
"Leaver CS","2023","16-19","EO","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2023","16-19","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2023","16-19","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2023","20-29","AA/AO","Heterosexual / straight","2585","[c]","22360","21780"
"Leaver CS","2023","20-29","AA/AO","LGBO","410","[c]","22030","21690"
"Leaver CS","2023","20-29","AA/AO","Undeclared","215","[c]","22360","21780"
"Leaver CS","2023","20-29","AA/AO","Unknown","2340","[c]","22480","21840"
"Leaver CS","2023","20-29","EO","Heterosexual / straight","1425","[c]","28220","27960"
"Leaver CS","2023","20-29","EO","LGBO","215","[c]","27890","27890"
"Leaver CS","2023","20-29","EO","Undeclared","165","[c]","27810","27570"
"Leaver CS","2023","20-29","EO","Unknown","735","[c]","27370","27570"
"Leaver CS","2023","20-29","G6/G7","Heterosexual / straight","195","[c]","54800","54130"
"Leaver CS","2023","20-29","G6/G7","LGBO","45","[c]","56020","54100"
"Leaver CS","2023","20-29","G6/G7","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","G6/G7","Unknown","115","[c]","56090","54700"
"Leaver CS","2023","20-29","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","20-29","SEO/HEO","Heterosexual / straight","1140","[c]","36050","34730"
"Leaver CS","2023","20-29","SEO/HEO","LGBO","225","[c]","35370","34220"
"Leaver CS","2023","20-29","SEO/HEO","Undeclared","165","[c]","36810","35650"
"Leaver CS","2023","20-29","SEO/HEO","Unknown","800","[c]","34690","33790"
"Leaver CS","2023","20-29","Unknown","Heterosexual / straight","325","[c]","28490","28610"
"Leaver CS","2023","20-29","Unknown","LGBO","60","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2023","20-29","Unknown","Unknown","230","[c]","26880","28680"
"Leaver CS","2023","30-39","AA/AO","Heterosexual / straight","1500","[c]","22590","21780"
"Leaver CS","2023","30-39","AA/AO","LGBO","150","[c]","22430","21690"
"Leaver CS","2023","30-39","AA/AO","Undeclared","125","[c]","22570","21780"
"Leaver CS","2023","30-39","AA/AO","Unknown","1180","[c]","23240","22180"
"Leaver CS","2023","30-39","EO","Heterosexual / straight","1105","[c]","28600","28120"
"Leaver CS","2023","30-39","EO","LGBO","135","[c]","28500","27570"
