"Status","Year","Ethnicity","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","White","Estyn","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","White","Estyn","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Estyn","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","White","Estyn","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","White","Estyn","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Estyn","Wales","Female","70","60","55080","60180"
"In post","2023","White","Estyn","Wales","Male","50","50","66300","78500"
"In post","2023","White","Estyn","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Estyn","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","White","Estyn","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","White","Estyn","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","East Midlands (England)","Female","25","25","[c]","[c]"
"In post","2023","White","Food Standards Agency","East Midlands (England)","Male","55","50","35190","29430"
"In post","2023","White","Food Standards Agency","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","East of England","Female","30","30","41220","38670"
"In post","2023","White","Food Standards Agency","East of England","Male","75","75","33850","29860"
"In post","2023","White","Food Standards Agency","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","London","Female","60","60","49090","41880"
"In post","2023","White","Food Standards Agency","London","Male","60","60","46680","41780"
"In post","2023","White","Food Standards Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","North East (England)","Female","10","10","[c]","[c]"
"In post","2023","White","Food Standards Agency","North East (England)","Male","15","15","[c]","[c]"
"In post","2023","White","Food Standards Agency","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","North West (England)","Female","20","20","[c]","[c]"
"In post","2023","White","Food Standards Agency","North West (England)","Male","65","60","34000","28090"
"In post","2023","White","Food Standards Agency","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","Northern Ireland","Female","65","65","39550","38100"
"In post","2023","White","Food Standards Agency","Northern Ireland","Male","30","30","40310","38100"
"In post","2023","White","Food Standards Agency","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","Scotland","Female","5","5","[c]","[c]"
"In post","2023","White","Food Standards Agency","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","South East (England)","Female","45","40","47270","41160"
"In post","2023","White","Food Standards Agency","South East (England)","Male","35","35","45740","42000"
"In post","2023","White","Food Standards Agency","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","South West (England)","Female","45","45","38000","35230"
"In post","2023","White","Food Standards Agency","South West (England)","Male","60","55","35650","28090"
"In post","2023","White","Food Standards Agency","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","Wales","Female","70","65","39490","37910"
"In post","2023","White","Food Standards Agency","Wales","Male","65","65","38070","31730"
"In post","2023","White","Food Standards Agency","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","West Midlands (England)","Female","30","30","38100","37910"
"In post","2023","White","Food Standards Agency","West Midlands (England)","Male","65","65","33360","29430"
"In post","2023","White","Food Standards Agency","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Food Standards Agency","Yorkshire and The Humber","Female","115","110","38270","37720"
"In post","2023","White","Food Standards Agency","Yorkshire and The Humber","Male","130","125","38740","33450"
"In post","2023","White","Food Standards Agency","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Foreign, Commonwealth and Development Office","London","Female","1335","1280","53250","54960"
"In post","2023","White","Foreign, Commonwealth and Development Office","London","Male","1360","1350","55300","55610"
"In post","2023","White","Foreign, Commonwealth and Development Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Foreign, Commonwealth and Development Office","Overseas","Female","640","635","54640","54590"
"In post","2023","White","Foreign, Commonwealth and Development Office","Overseas","Male","885","885","52390","53050"
"In post","2023","White","Foreign, Commonwealth and Development Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Foreign, Commonwealth and Development Office","Scotland","Female","310","290","42340","39660"
"In post","2023","White","Foreign, Commonwealth and Development Office","Scotland","Male","230","225","45090","42660"
"In post","2023","White","Foreign, Commonwealth and Development Office","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Foreign, Commonwealth and Development Office","South East (England)","Female","410","385","36700","31620"
"In post","2023","White","Foreign, Commonwealth and Development Office","South East (England)","Male","535","520","41010","36840"
"In post","2023","White","Foreign, Commonwealth and Development Office","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Land Registry","East Midlands (England)","Female","395","350","33740","28080"
"In post","2023","White","HM Land Registry","East Midlands (England)","Male","225","210","33800","34850"
"In post","2023","White","HM Land Registry","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Land Registry","East of England","Female","135","120","32400","28080"
"In post","2023","White","HM Land Registry","East of England","Male","85","75","34030","34850"
"In post","2023","White","HM Land Registry","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Land Registry","London","Female","115","105","43530","38410"
"In post","2023","White","HM Land Registry","London","Male","95","90","45750","38410"
"In post","2023","White","HM Land Registry","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Land Registry","North East (England)","Female","380","340","30290","28080"
"In post","2023","White","HM Land Registry","North East (England)","Male","200","185","30930","28080"
"In post","2023","White","HM Land Registry","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Land Registry","North West (England)","Female","470","405","32030","28080"
"In post","2023","White","HM Land Registry","North West (England)","Male","240","220","32830","28080"
"In post","2023","White","HM Land Registry","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Land Registry","South West (England)","Female","670","570","33250","28080"
"In post","2023","White","HM Land Registry","South West (England)","Male","445","420","37560","34850"
"In post","2023","White","HM Land Registry","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Land Registry","Wales","Female","430","375","30280","28080"
"In post","2023","White","HM Land Registry","Wales","Male","255","235","31490","28080"
"In post","2023","White","HM Land Registry","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Land Registry","West Midlands (England)","Female","285","250","31540","28080"
"In post","2023","White","HM Land Registry","West Midlands (England)","Male","155","150","32860","28080"
"In post","2023","White","HM Land Registry","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Land Registry","Yorkshire and The Humber","Female","170","145","30480","28080"
"In post","2023","White","HM Land Registry","Yorkshire and The Humber","Male","120","115","31280","28080"
"In post","2023","White","HM Land Registry","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","East Midlands (England)","Female","1380","1265","37220","35000"
"In post","2023","White","HM Revenue and Customs","East Midlands (England)","Male","1250","1215","37360","35000"
"In post","2023","White","HM Revenue and Customs","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","East of England","Female","280","245","32680","29730"
"In post","2023","White","HM Revenue and Customs","East of England","Male","290","275","35680","34880"
"In post","2023","White","HM Revenue and Customs","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","London","Female","2210","2045","49430","45170"
"In post","2023","White","HM Revenue and Customs","London","Male","2430","2345","51700","45960"
"In post","2023","White","HM Revenue and Customs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","North East (England)","Female","5105","4425","31400","27890"
"In post","2023","White","HM Revenue and Customs","North East (England)","Male","3545","3405","34670","29730"
"In post","2023","White","HM Revenue and Customs","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","North West (England)","Female","5010","4545","35150","34400"
"In post","2023","White","HM Revenue and Customs","North West (England)","Male","4135","4010","36720","34700"
"In post","2023","White","HM Revenue and Customs","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","Northern Ireland","Female","955","870","32850","28130"
"In post","2023","White","HM Revenue and Customs","Northern Ireland","Male","855","830","33900","32070"
"In post","2023","White","HM Revenue and Customs","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","Scotland","Female","3185","2790","31440","28130"
"In post","2023","White","HM Revenue and Customs","Scotland","Male","2400","2300","33580","29730"
"In post","2023","White","HM Revenue and Customs","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","South East (England)","Female","925","810","33790","29730"
"In post","2023","White","HM Revenue and Customs","South East (England)","Male","750","710","36990","35000"
"In post","2023","White","HM Revenue and Customs","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","South West (England)","Female","740","680","37420","34700"
"In post","2023","White","HM Revenue and Customs","South West (England)","Male","775","745","39180","35000"
"In post","2023","White","HM Revenue and Customs","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","Wales","Female","1690","1515","32810","28130"
"In post","2023","White","HM Revenue and Customs","Wales","Male","1550","1505","33910","29730"
"In post","2023","White","HM Revenue and Customs","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","West Midlands (England)","Female","1280","1165","38620","35000"
"In post","2023","White","HM Revenue and Customs","West Midlands (England)","Male","1200","1160","41030","36740"
"In post","2023","White","HM Revenue and Customs","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Revenue and Customs","Yorkshire and The Humber","Female","1585","1415","36070","34700"
"In post","2023","White","HM Revenue and Customs","Yorkshire and The Humber","Male","1300","1255","38750","35000"
"In post","2023","White","HM Revenue and Customs","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","East of England","Female","50","45","28010","25460"
"In post","2023","White","HM Treasury","East of England","Male","30","30","[c]","[c]"
"In post","2023","White","HM Treasury","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","London","Female","655","625","50550","54090"
"In post","2023","White","HM Treasury","London","Male","780","770","51320","54090"
"In post","2023","White","HM Treasury","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","North East (England)","Female","100","95","44090","33630"
"In post","2023","White","HM Treasury","North East (England)","Male","80","80","44930","44060"
"In post","2023","White","HM Treasury","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","North West (England)","Female","35","30","47620","42700"
"In post","2023","White","HM Treasury","North West (England)","Male","15","15","[c]","[c]"
"In post","2023","White","HM Treasury","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","Scotland","Female","5","5","[c]","[c]"
"In post","2023","White","HM Treasury","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","South East (England)","Female","5","5","[c]","[c]"
"In post","2023","White","HM Treasury","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","South West (England)","Female","25","20","[c]","[c]"
"In post","2023","White","HM Treasury","South West (England)","Male","15","15","[c]","[c]"
"In post","2023","White","HM Treasury","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","Unknown","Female","5","5","[c]","[c]"
"In post","2023","White","HM Treasury","Unknown","Male","10","10","[c]","[c]"
"In post","2023","White","HM Treasury","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","Wales","Female","10","10","[c]","[c]"
"In post","2023","White","HM Treasury","Wales","Male","10","10","[c]","[c]"
"In post","2023","White","HM Treasury","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","West Midlands (England)","Female","15","15","[c]","[c]"
"In post","2023","White","HM Treasury","West Midlands (England)","Male","10","10","[c]","[c]"
"In post","2023","White","HM Treasury","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","HM Treasury","Yorkshire and The Humber","Female","30","30","46660","47540"
"In post","2023","White","HM Treasury","Yorkshire and The Humber","Male","20","20","[c]","[c]"
"In post","2023","White","HM Treasury","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","East Midlands (England)","Female","85","80","32370","27650"
"In post","2023","White","Home Office","East Midlands (England)","Male","95","95","31090","27010"
"In post","2023","White","Home Office","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","East of England","Female","580","525","28590","26110"
"In post","2023","White","Home Office","East of England","Male","680","645","29390","26350"
"In post","2023","White","Home Office","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","London","Female","2820","2630","46190","43210"
"In post","2023","White","Home Office","London","Male","2970","2885","47440","43210"
"In post","2023","White","Home Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","North East (England)","Female","710","605","27070","25750"
"In post","2023","White","Home Office","North East (England)","Male","510","485","28100","25880"
"In post","2023","White","Home Office","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","North West (England)","Female","3495","3175","29500","25980"
"In post","2023","White","Home Office","North West (England)","Male","2665","2595","31000","26180"
"In post","2023","White","Home Office","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","Northern Ireland","Female","250","225","27600","25880"
"In post","2023","White","Home Office","Northern Ireland","Male","240","230","27440","25880"
"In post","2023","White","Home Office","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","Overseas","Female","30","30","[c]","[c]"
"In post","2023","White","Home Office","Overseas","Male","55","55","[c]","[c]"
"In post","2023","White","Home Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","Scotland","Female","475","440","29450","26180"
"In post","2023","White","Home Office","Scotland","Male","450","435","29840","26180"
"In post","2023","White","Home Office","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","South East (England)","Female","1235","1105","29390","27050"
"In post","2023","White","Home Office","South East (England)","Male","1810","1715","30270","27650"
"In post","2023","White","Home Office","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","South West (England)","Female","145","130","29830","26250"
"In post","2023","White","Home Office","South West (England)","Male","205","190","33270","27650"
"In post","2023","White","Home Office","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","Unknown","Female","40","35","28640","26780"
"In post","2023","White","Home Office","Unknown","Male","65","55","30610","27330"
"In post","2023","White","Home Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","Wales","Female","335","305","30400","26310"
"In post","2023","White","Home Office","Wales","Male","270","260","32230","26780"
"In post","2023","White","Home Office","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","West Midlands (England)","Female","350","315","32350","27650"
"In post","2023","White","Home Office","West Midlands (England)","Male","295","280","32590","27650"
"In post","2023","White","Home Office","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Home Office","Yorkshire and The Humber","Female","1430","1275","31120","26180"
"In post","2023","White","Home Office","Yorkshire and The Humber","Male","1280","1245","32150","26780"
"In post","2023","White","Home Office","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","East Midlands (England)","Female","705","665","28940","22840"
"In post","2023","White","Ministry of Defence","East Midlands (England)","Male","715","705","31600","29270"
"In post","2023","White","Ministry of Defence","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","East of England","Female","1340","1280","31640","27470"
"In post","2023","White","Ministry of Defence","East of England","Male","1590","1565","35150","33990"
"In post","2023","White","Ministry of Defence","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","London","Female","1055","1020","46760","45540"
"In post","2023","White","Ministry of Defence","London","Male","1625","1600","46400","45540"
"In post","2023","White","Ministry of Defence","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","North East (England)","Female","90","85","25770","22220"
"In post","2023","White","Ministry of Defence","North East (England)","Male","100","95","25360","21600"
"In post","2023","White","Ministry of Defence","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","North West (England)","Female","785","715","29370","27140"
"In post","2023","White","Ministry of Defence","North West (England)","Male","785","765","33560","28000"
"In post","2023","White","Ministry of Defence","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","Northern Ireland","Female","225","215","27690","22970"
"In post","2023","White","Ministry of Defence","Northern Ireland","Male","560","550","25240","22130"
"In post","2023","White","Ministry of Defence","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","Overseas","Female","180","180","53020","48980"
"In post","2023","White","Ministry of Defence","Overseas","Male","260","260","56890","51880"
"In post","2023","White","Ministry of Defence","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","Scotland","Female","1250","1180","29430","24680"
"In post","2023","White","Ministry of Defence","Scotland","Male","2180","2115","33070","28600"
"In post","2023","White","Ministry of Defence","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","South East (England)","Female","3675","3485","34900","33990"
"In post","2023","White","Ministry of Defence","South East (England)","Male","4300","4215","37950","34880"
"In post","2023","White","Ministry of Defence","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","South West (England)","Female","7585","7100","37120","34300"
"In post","2023","White","Ministry of Defence","South West (England)","Male","10865","10635","41070","39890"
"In post","2023","White","Ministry of Defence","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","Unknown","Female","15","15","[c]","[c]"
"In post","2023","White","Ministry of Defence","Unknown","Male","15","15","[c]","[c]"
"In post","2023","White","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","Wales","Female","315","305","27690","23670"
"In post","2023","White","Ministry of Defence","Wales","Male","705","685","28880","27500"
"In post","2023","White","Ministry of Defence","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","West Midlands (England)","Female","1025","975","32570","27470"
"In post","2023","White","Ministry of Defence","West Midlands (England)","Male","1130","1115","32670","30140"
"In post","2023","White","Ministry of Defence","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Defence","Yorkshire and The Humber","Female","625","590","29750","27080"
"In post","2023","White","Ministry of Defence","Yorkshire and The Humber","Male","1005","980","30280","27470"
"In post","2023","White","Ministry of Defence","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","East Midlands (England)","Female","3620","3320","29910","28480"
"In post","2023","White","Ministry of Justice","East Midlands (England)","Male","2515","2420","32310","31510"
"In post","2023","White","Ministry of Justice","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","East of England","Female","3245","2960","30260","28480"
"In post","2023","White","Ministry of Justice","East of England","Male","2620","2515","32850","32060"
"In post","2023","White","Ministry of Justice","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","London","Female","4045","3805","41170","35800"
"In post","2023","White","Ministry of Justice","London","Male","3080","2995","43300","39000"
"In post","2023","White","Ministry of Justice","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","North East (England)","Female","2665","2445","30410","28880"
"In post","2023","White","Ministry of Justice","North East (England)","Male","1940","1820","32440","32060"
"In post","2023","White","Ministry of Justice","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","North West (England)","Female","5600","5185","30090","28480"
"In post","2023","White","Ministry of Justice","North West (England)","Male","3600","3395","32420","31510"
"In post","2023","White","Ministry of Justice","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","Scotland","Female","265","235","29330","25830"
"In post","2023","White","Ministry of Justice","Scotland","Male","205","195","30030","25830"
"In post","2023","White","Ministry of Justice","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","South East (England)","Female","4590","4210","31100","29050"
"In post","2023","White","Ministry of Justice","South East (England)","Male","3485","3345","33800","32920"
"In post","2023","White","Ministry of Justice","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","South West (England)","Female","2850","2565","30160","28480"
"In post","2023","White","Ministry of Justice","South West (England)","Male","2130","2020","32510","31270"
"In post","2023","White","Ministry of Justice","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","Unknown","Female","35","35","27290","24070"
"In post","2023","White","Ministry of Justice","Unknown","Male","40","35","30770","28880"
"In post","2023","White","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","Wales","Female","2460","2300","30130","26840"
"In post","2023","White","Ministry of Justice","Wales","Male","1475","1400","32590","31270"
"In post","2023","White","Ministry of Justice","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","West Midlands (England)","Female","3805","3500","29920","28480"
"In post","2023","White","Ministry of Justice","West Midlands (England)","Male","2675","2570","32600","31510"
"In post","2023","White","Ministry of Justice","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Ministry of Justice","Yorkshire and The Humber","Female","4645","4250","31030","29050"
"In post","2023","White","Ministry of Justice","Yorkshire and The Humber","Male","3280","3115","33490","32060"
"In post","2023","White","Ministry of Justice","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","East Midlands (England)","Female","60","55","38120","38310"
"In post","2023","White","National Crime Agency","East Midlands (England)","Male","85","85","42830","40440"
"In post","2023","White","National Crime Agency","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","East of England","Female","60","55","37570","36040"
"In post","2023","White","National Crime Agency","East of England","Male","70","70","40490","39070"
"In post","2023","White","National Crime Agency","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","London","Female","485","465","46880","42760"
"In post","2023","White","National Crime Agency","London","Male","585","580","50490","47740"
"In post","2023","White","National Crime Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","North East (England)","Female","35","30","36250","36040"
"In post","2023","White","National Crime Agency","North East (England)","Male","55","55","40200","38310"
"In post","2023","White","National Crime Agency","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","North West (England)","Female","560","540","38790","38310"
"In post","2023","White","National Crime Agency","North West (England)","Male","570","560","40720","38640"
"In post","2023","White","National Crime Agency","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","Northern Ireland","Female","50","50","40540","38640"
"In post","2023","White","National Crime Agency","Northern Ireland","Male","65","60","43000","38590"
"In post","2023","White","National Crime Agency","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","Overseas","Female","15","15","[c]","[c]"
"In post","2023","White","National Crime Agency","Overseas","Male","90","90","48820","47380"
"In post","2023","White","National Crime Agency","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","Scotland","Female","20","20","[c]","[c]"
"In post","2023","White","National Crime Agency","Scotland","Male","35","35","41940","42110"
"In post","2023","White","National Crime Agency","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","South East (England)","Female","140","130","40480","39630"
"In post","2023","White","National Crime Agency","South East (England)","Male","215","210","44530","44040"
"In post","2023","White","National Crime Agency","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","South West (England)","Female","220","210","38220","38310"
"In post","2023","White","National Crime Agency","South West (England)","Male","180","175","42350","40440"
"In post","2023","White","National Crime Agency","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","Unknown","Female","35","30","43860","42460"
"In post","2023","White","National Crime Agency","Unknown","Male","45","40","49940","48880"
"In post","2023","White","National Crime Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","Wales","Female","20","20","[c]","[c]"
"In post","2023","White","National Crime Agency","Wales","Male","35","35","44220","43520"
"In post","2023","White","National Crime Agency","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","West Midlands (England)","Female","165","155","37960","38310"
"In post","2023","White","National Crime Agency","West Midlands (England)","Male","220","220","44110","41540"
"In post","2023","White","National Crime Agency","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","National Crime Agency","Yorkshire and The Humber","Female","90","90","38490","38070"
"In post","2023","White","National Crime Agency","Yorkshire and The Humber","Male","115","110","43040","41630"
"In post","2023","White","National Crime Agency","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Northern Ireland Office","London","Female","30","25","[c]","[c]"
"In post","2023","White","Northern Ireland Office","London","Male","25","25","[c]","[c]"
"In post","2023","White","Northern Ireland Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Northern Ireland Office","Northern Ireland","Female","35","35","36870","37680"
"In post","2023","White","Northern Ireland Office","Northern Ireland","Male","25","25","[c]","[c]"
"In post","2023","White","Northern Ireland Office","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","Female","140","130","48740","52750"
"In post","2023","White","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","Male","50","50","58300","61480"
"In post","2023","White","Office for Standards in Education, Children's Services and Skills","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Office for Standards in Education, Children's Services and Skills","East of England","Female","65","65","59210","52750"
"In post","2023","White","Office for Standards in Education, Children's Services and Skills","East of England","Male","25","25","[c]","[c]"
"In post","2023","White","Office for Standards in Education, Children's Services and Skills","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","White","Office for Standards in Education, Children's Services and Skills","London","Female","135","130","56030","52750"
"In post","2023","White","Office for Standards in Education, Children's Services and Skills","London","Male","75","75","60600","64680"
