"Status","Year","Age","Disability","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","65+","Declared non-disabled","Black","Security","5","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","No function","80","70","30900","28120"
"In post","2023","65+","Declared non-disabled","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Human Resources","5","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","No function","30","25","29050","28120"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Counter Fraud","20","15","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Digital, Data & Technology","15","10","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Finance","10","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Human Resources","10","10","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Legal","5","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","No function","265","200","31200","28120"
"In post","2023","65+","Declared non-disabled","Undeclared","Project Delivery","5","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Property","5","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Security","10","10","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Undeclared","Unknown","10","10","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Counter Fraud","15","10","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Debt","5","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Digital, Data & Technology","10","10","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Finance","5","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Legal","10","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","No function","185","140","30220","26210"
"In post","2023","65+","Declared non-disabled","Unknown","Project Delivery","5","5","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Property","25","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","White","Analysis","50","40","50770","49260"
"In post","2023","65+","Declared non-disabled","White","Commercial","65","55","48110","43780"
"In post","2023","65+","Declared non-disabled","White","Communications","25","20","[c]","[c]"
"In post","2023","65+","Declared non-disabled","White","Counter Fraud","290","195","31560","28120"
"In post","2023","65+","Declared non-disabled","White","Debt","105","75","24910","22520"
"In post","2023","65+","Declared non-disabled","White","Digital, Data & Technology","235","195","41440","36990"
"In post","2023","65+","Declared non-disabled","White","Finance","140","110","34990","32720"
"In post","2023","65+","Declared non-disabled","White","Grants Management","25","25","[c]","[c]"
"In post","2023","65+","Declared non-disabled","White","Human Resources","215","180","33940","30470"
"In post","2023","65+","Declared non-disabled","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Declared non-disabled","White","Legal","120","90","51650","56450"
"In post","2023","65+","Declared non-disabled","White","No function","5000","3760","29650","26840"
"In post","2023","65+","Declared non-disabled","White","Project Delivery","225","175","49610","43800"
"In post","2023","65+","Declared non-disabled","White","Property","210","180","36510","34300"
"In post","2023","65+","Declared non-disabled","White","Security","190","165","28430","22220"
"In post","2023","65+","Declared non-disabled","White","Unknown","365","290","42820","38330"
"In post","2023","65+","Undeclared","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","No function","45","35","37930","26630"
"In post","2023","65+","Undeclared","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","No function","30","25","35650","30040"
"In post","2023","65+","Undeclared","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Property","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","No function","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","No function","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Counter Fraud","15","10","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Digital, Data & Technology","15","15","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Finance","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Grants Management","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","No function","135","105","35490","29170"
"In post","2023","65+","Undeclared","Undeclared","Project Delivery","10","5","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Property","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Security","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Undeclared","Unknown","10","5","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","No function","30","25","36480","30090"
"In post","2023","65+","Undeclared","Unknown","Property","5","5","[c]","[c]"
"In post","2023","65+","Undeclared","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","White","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","White","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","White","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","White","Counter Fraud","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","White","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","White","Digital, Data & Technology","20","15","[c]","[c]"
"In post","2023","65+","Undeclared","White","Finance","10","10","[c]","[c]"
"In post","2023","65+","Undeclared","White","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","White","Human Resources","20","15","[c]","[c]"
"In post","2023","65+","Undeclared","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","White","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Undeclared","White","No function","450","330","30630","27130"
"In post","2023","65+","Undeclared","White","Project Delivery","15","10","[c]","[c]"
"In post","2023","65+","Undeclared","White","Property","15","10","[c]","[c]"
"In post","2023","65+","Undeclared","White","Security","25","25","[c]","[c]"
"In post","2023","65+","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Debt","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","No function","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Property","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","No function","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Property","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","No function","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","Counter Fraud","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","No function","40","30","38360","34350"
"In post","2023","65+","Unknown","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Analysis","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Commercial","5","5","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Counter Fraud","25","15","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Debt","15","15","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Digital, Data & Technology","30","30","40800","42060"
"In post","2023","65+","Unknown","Unknown","Finance","15","15","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Grants Management","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Human Resources","10","10","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Legal","30","20","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","No function","570","425","30430","26400"
"In post","2023","65+","Unknown","Unknown","Project Delivery","20","15","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Property","35","30","29150","25240"
"In post","2023","65+","Unknown","Unknown","Security","15","10","[c]","[c]"
"In post","2023","65+","Unknown","Unknown","Unknown","90","80","39860","34830"
"In post","2023","65+","Unknown","White","Analysis","5","5","[c]","[c]"
"In post","2023","65+","Unknown","White","Commercial","5","5","[c]","[c]"
"In post","2023","65+","Unknown","White","Communications","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","White","Counter Fraud","20","10","[c]","[c]"
"In post","2023","65+","Unknown","White","Debt","10","5","[c]","[c]"
"In post","2023","65+","Unknown","White","Digital, Data & Technology","30","25","42130","35130"
"In post","2023","65+","Unknown","White","Finance","15","15","[c]","[c]"
"In post","2023","65+","Unknown","White","Grants Management","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","White","Human Resources","20","20","[c]","[c]"
"In post","2023","65+","Unknown","White","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2023","65+","Unknown","White","Legal","20","15","[c]","[c]"
"In post","2023","65+","Unknown","White","No function","385","300","33630","27110"
"In post","2023","65+","Unknown","White","Project Delivery","35","30","53530","49670"
"In post","2023","65+","Unknown","White","Property","30","25","[c]","[c]"
"In post","2023","65+","Unknown","White","Security","25","20","[c]","[c]"
"In post","2023","65+","Unknown","White","Unknown","55","45","44470","38330"
"In post","2023","Unknown","Declared disabled","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Asian","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Asian","No function","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Black","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Black","No function","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Black","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Black","Security","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Mixed","No function","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Declared disabled","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
