"Status","Year","Disability","Ethnicity","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared non-disabled","Asian","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","Serious Fraud Office","Attorney General's Departments","45","40","45650","41580"
"In post","2023","Declared non-disabled","Asian","Social Security Scotland","Scottish Government","55","55","32330","29450"
"In post","2023","Declared non-disabled","Asian","Standards and Testing Agency","Department for Education","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","Submarine Delivery Agency","Ministry of Defence","35","35","40950","39500"
"In post","2023","Declared non-disabled","Asian","Teaching Regulation Agency","Department for Education","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","The Insolvency Service","Department for Business, Energy and Industrial Strategy","110","105","30290","26520"
"In post","2023","Declared non-disabled","Asian","The National Archives","The National Archives","30","30","37280","36210"
"In post","2023","Declared non-disabled","Asian","Transport Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","UK Export Finance","UK Export Finance","80","80","49970","42000"
"In post","2023","Declared non-disabled","Asian","UK Health Security Agency","Department of Health and Social Care","405","380","42970","33710"
"In post","2023","Declared non-disabled","Asian","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","UK Space Agency","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","UK Statistics Authority","UK Statistics Authority","115","105","35830","31560"
"In post","2023","Declared non-disabled","Asian","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","Valuation Office Agency","HM Revenue and Customs","200","190","34420","31540"
"In post","2023","Declared non-disabled","Asian","Vehicle Certification Agency","Department for Transport","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","Water Services Regulation Authority","Water Services Regulation Authority","35","35","45750","41920"
"In post","2023","Declared non-disabled","Asian","Welsh Government (excl. agencies)","Welsh Government","60","60","44570","41700"
"In post","2023","Declared non-disabled","Asian","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Asian","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Active Travel England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Building Digital UK","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Cabinet Office (excl. agencies)","Cabinet Office","180","180","41420","36680"
"In post","2023","Declared non-disabled","Black","Central Civil Service Fast Stream","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Charity Commission","Charity Commission","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Competition and Markets Authority","Competition and Markets Authority","35","35","42620","37560"
"In post","2023","Declared non-disabled","Black","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Crown Commercial Service","Cabinet Office","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Crown Office and Procurator Fiscal Service","Scottish Government","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Crown Prosecution Service","Attorney General's Departments","290","280","42020","33620"
"In post","2023","Declared non-disabled","Black","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Defence Equipment and Support","Ministry of Defence","165","165","35790","33990"
"In post","2023","Declared non-disabled","Black","Defence Science and Technology Laboratory","Ministry of Defence","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","260","260","42840","41060"
"In post","2023","Declared non-disabled","Black","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","60","60","39010","35620"
"In post","2023","Declared non-disabled","Black","Department for Education (excl. agencies)","Department for Education","170","170","42800","39200"
"In post","2023","Declared non-disabled","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","195","195","37840","34120"
"In post","2023","Declared non-disabled","Black","Department for International Trade","Department for International Trade","110","105","43240","40710"
"In post","2023","Declared non-disabled","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","125","125","42670","40390"
"In post","2023","Declared non-disabled","Black","Department for Transport (excl. agencies)","Department for Transport","145","140","43870","43320"
"In post","2023","Declared non-disabled","Black","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","2855","2690","30790","31280"
"In post","2023","Declared non-disabled","Black","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","55","50","41130","35190"
"In post","2023","Declared non-disabled","Black","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Driver and Vehicle Licensing Agency","Department for Transport","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Driver and Vehicle Standards Agency","Department for Transport","45","45","32600","31450"
"In post","2023","Declared non-disabled","Black","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Education and Skills Funding Agency","Department for Education","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","FCDO Services","Foreign, Commonwealth and Development Office","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Food Standards Agency","Food Standards Agency","35","35","37610","33820"
"In post","2023","Declared non-disabled","Black","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","120","120","38430","35280"
"In post","2023","Declared non-disabled","Black","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Government Commercial Organisation","Cabinet Office","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Government Internal Audit Agency","HM Treasury","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Government Legal Department","Attorney General's Departments","165","160","43600","42940"
"In post","2023","Declared non-disabled","Black","Government Property Agency","Cabinet Office","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Black","HM Courts and Tribunals Service","Ministry of Justice","735","695","28220","25480"
"In post","2023","Declared non-disabled","Black","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","HM Land Registry","HM Land Registry","45","40","34070","31680"
"In post","2023","Declared non-disabled","Black","HM Prison and Probation Service","Ministry of Justice","2170","2100","32820","32000"
"In post","2023","Declared non-disabled","Black","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","1565","1520","35730","34370"
"In post","2023","Declared non-disabled","Black","HM Treasury (excl. agencies)","HM Treasury","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Health and Safety Executive","Department for Work and Pensions","35","30","45670","40790"
"In post","2023","Declared non-disabled","Black","Home Office","Home Office","1425","1340","34640","30410"
"In post","2023","Declared non-disabled","Black","Institute for Apprenticeships and Technical Education","Department for Education","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Legal Aid Agency","Ministry of Justice","35","30","28360","24240"
"In post","2023","Declared non-disabled","Black","Maritime and Coastguard Agency","Department for Transport","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Met Office","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Ministry of Defence (excl. agencies)","Ministry of Defence","340","330","36470","33990"
"In post","2023","Declared non-disabled","Black","Ministry of Justice (excl. agencies)","Ministry of Justice","300","295","40440","37640"
"In post","2023","Declared non-disabled","Black","National Crime Agency","National Crime Agency","30","30","40740","39800"
"In post","2023","Declared non-disabled","Black","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","National Savings and Investments","Chancellor's other departments","15","10","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","65","60","49720","47750"
"In post","2023","Declared non-disabled","Black","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","95","95","42960","40000"
"In post","2023","Declared non-disabled","Black","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Office of the Public Guardian","Ministry of Justice","75","70","23920","21780"
"In post","2023","Declared non-disabled","Black","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Planning Inspectorate","Department for Levelling Up, Housing and Communities","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Rural Payments Agency","Department for Environment, Food and Rural Affairs","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Scottish Government (excl. agencies)","Scottish Government","30","30","42550","41640"
"In post","2023","Declared non-disabled","Black","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Serious Fraud Office","Attorney General's Departments","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Social Security Scotland","Scottish Government","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Standards and Testing Agency","Department for Education","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Submarine Delivery Agency","Ministry of Defence","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","The Insolvency Service","Department for Business, Energy and Industrial Strategy","45","45","31900","25880"
"In post","2023","Declared non-disabled","Black","The National Archives","The National Archives","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","UK Export Finance","UK Export Finance","45","45","47060","42970"
"In post","2023","Declared non-disabled","Black","UK Health Security Agency","Department of Health and Social Care","200","195","37640","33680"
"In post","2023","Declared non-disabled","Black","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","UK Statistics Authority","UK Statistics Authority","65","65","35130","31560"
"In post","2023","Declared non-disabled","Black","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Valuation Office Agency","HM Revenue and Customs","60","55","35590","32590"
"In post","2023","Declared non-disabled","Black","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Water Services Regulation Authority","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Welsh Government (excl. agencies)","Welsh Government","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Black","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Active Travel England","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","45","45","29260","29080"
"In post","2023","Declared non-disabled","Mixed","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Building Digital UK","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Cabinet Office (excl. agencies)","Cabinet Office","135","135","47890","41870"
"In post","2023","Declared non-disabled","Mixed","Central Civil Service Fast Stream","Cabinet Office","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Charity Commission","Charity Commission","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Competition and Markets Authority","Competition and Markets Authority","30","30","50040","46490"
"In post","2023","Declared non-disabled","Mixed","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Crown Office and Procurator Fiscal Service","Scottish Government","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Crown Prosecution Service","Attorney General's Departments","150","140","41500","35280"
"In post","2023","Declared non-disabled","Mixed","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Defence Equipment and Support","Ministry of Defence","115","110","37750","33000"
"In post","2023","Declared non-disabled","Mixed","Defence Science and Technology Laboratory","Ministry of Defence","35","35","41360","39890"
"In post","2023","Declared non-disabled","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","185","180","49910","54710"
"In post","2023","Declared non-disabled","Mixed","Department for Digital, Culture, Media and Sport (excl. agencies)","Department for Digital, Culture, Media and Sport","60","60","47170","42440"
"In post","2023","Declared non-disabled","Mixed","Department for Education (excl. agencies)","Department for Education","110","105","48580","51360"
"In post","2023","Declared non-disabled","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","115","110","43480","40260"
"In post","2023","Declared non-disabled","Mixed","Department for International Trade","Department for International Trade","60","55","47900","41750"
"In post","2023","Declared non-disabled","Mixed","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","75","70","47050","49700"
"In post","2023","Declared non-disabled","Mixed","Department for Transport (excl. agencies)","Department for Transport","105","100","46650","43750"
"In post","2023","Declared non-disabled","Mixed","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","1055","975","29690","28120"
"In post","2023","Declared non-disabled","Mixed","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","35","35","51360","52210"
"In post","2023","Declared non-disabled","Mixed","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Driver and Vehicle Licensing Agency","Department for Transport","45","45","25880","22500"
"In post","2023","Declared non-disabled","Mixed","Driver and Vehicle Standards Agency","Department for Transport","45","40","30370","28530"
"In post","2023","Declared non-disabled","Mixed","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Education and Skills Funding Agency","Department for Education","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","FCDO Services","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Food Standards Agency","Food Standards Agency","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","155","150","47050","40600"
"In post","2023","Declared non-disabled","Mixed","Forestry and Land Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Government Actuary's Department","Chancellor's other departments","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Government Commercial Organisation","Cabinet Office","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Government Internal Audit Agency","HM Treasury","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Government Legal Department","Attorney General's Departments","75","75","56940","52790"
"In post","2023","Declared non-disabled","Mixed","Government Property Agency","Cabinet Office","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","HM Courts and Tribunals Service","Ministry of Justice","225","210","27240","25480"
"In post","2023","Declared non-disabled","Mixed","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","HM Land Registry","HM Land Registry","45","45","32340","28080"
"In post","2023","Declared non-disabled","Mixed","HM Prison and Probation Service","Ministry of Justice","1100","1050","32700","30940"
"In post","2023","Declared non-disabled","Mixed","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","715","695","37620","34700"
"In post","2023","Declared non-disabled","Mixed","HM Treasury (excl. agencies)","HM Treasury","60","60","49820","53550"
"In post","2023","Declared non-disabled","Mixed","Health and Safety Executive","Department for Work and Pensions","40","40","43080","40820"
"In post","2023","Declared non-disabled","Mixed","Home Office","Home Office","520","485","36300","31950"
"In post","2023","Declared non-disabled","Mixed","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Legal Aid Agency","Ministry of Justice","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Maritime and Coastguard Agency","Department for Transport","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Met Office","Department for Business, Energy and Industrial Strategy","45","40","36740","37420"
"In post","2023","Declared non-disabled","Mixed","Ministry of Defence (excl. agencies)","Ministry of Defence","270","260","38480","34300"
"In post","2023","Declared non-disabled","Mixed","Ministry of Justice (excl. agencies)","Ministry of Justice","145","140","45510","43650"
"In post","2023","Declared non-disabled","Mixed","National Crime Agency","National Crime Agency","30","30","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","National Savings and Investments","Chancellor's other departments","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","25","20","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","55","55","44920","43650"
"In post","2023","Declared non-disabled","Mixed","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Office of the Public Guardian","Ministry of Justice","25","25","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Planning Inspectorate","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Registers of Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Rural Payments Agency","Department for Environment, Food and Rural Affairs","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Scottish Courts and Tribunals Service","Scottish Government","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Scottish Government (excl. agencies)","Scottish Government","55","55","47990","42860"
"In post","2023","Declared non-disabled","Mixed","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Serious Fraud Office","Attorney General's Departments","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Social Security Scotland","Scottish Government","20","20","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Standards and Testing Agency","Department for Education","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Submarine Delivery Agency","Ministry of Defence","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","The Insolvency Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","The National Archives","The National Archives","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","UK Export Finance","UK Export Finance","15","15","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","UK Health Security Agency","Department of Health and Social Care","65","65","45690","40880"
"In post","2023","Declared non-disabled","Mixed","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","UK Statistics Authority","UK Statistics Authority","60","55","34090","31560"
"In post","2023","Declared non-disabled","Mixed","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Valuation Office Agency","HM Revenue and Customs","30","25","34150","31540"
"In post","2023","Declared non-disabled","Mixed","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Water Services Regulation Authority","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Welsh Government (excl. agencies)","Welsh Government","55","50","43780","39690"
"In post","2023","Declared non-disabled","Mixed","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Mixed","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2023","Declared non-disabled","Other ethnicity","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
