"Status","Year","Profession_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Psychology","Croydon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Devon CC","Female","30","25","[c]","[c]"
"In post","2023","Psychology","Devon CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Dorset","Female","15","15","[c]","[c]"
"In post","2023","Psychology","Dorset","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Dudley","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Dudley","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Durham","Female","70","70","41960","40470"
"In post","2023","Psychology","Durham","Male","10","10","[c]","[c]"
"In post","2023","Psychology","Ealing","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Ealing","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","East Ayrshire and North Ayrshire mainland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","East Ayrshire and North Ayrshire mainland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","East Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Female","5","5","[c]","[c]"
"In post","2023","Psychology","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","East Riding of Yorkshire","Female","30","25","[c]","[c]"
"In post","2023","Psychology","East Riding of Yorkshire","Male","5","5","[c]","[c]"
"In post","2023","Psychology","East Surrey","Female","15","15","[c]","[c]"
"In post","2023","Psychology","East Surrey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","East Sussex CC","Female","10","5","[c]","[c]"
"In post","2023","Psychology","East Sussex CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Falkirk","Female","5","5","[c]","[c]"
"In post","2023","Psychology","Falkirk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Flintshire and Wrexham","Female","30","30","[c]","[c]"
"In post","2023","Psychology","Flintshire and Wrexham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Gloucestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Gloucestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Greater Manchester North East","Female","5","5","[c]","[c]"
"In post","2023","Psychology","Greater Manchester North East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Greater Manchester North West","Female","5","5","[c]","[c]"
"In post","2023","Psychology","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Greater Manchester South East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Greater Manchester South West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Hackney and Newham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Hackney and Newham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Haringey and Islington","Female","5","5","[c]","[c]"
"In post","2023","Psychology","Haringey and Islington","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Hartlepool and Stockton-on-Tees","Female","10","10","[c]","[c]"
"In post","2023","Psychology","Hartlepool and Stockton-on-Tees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Heart of Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Heart of Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Hertfordshire CC","Female","15","10","[c]","[c]"
"In post","2023","Psychology","Hertfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Hounslow and Richmond upon Thames","Female","25","25","[c]","[c]"
"In post","2023","Psychology","Hounslow and Richmond upon Thames","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Inverness and Nairn, Moray, and Badenoch and Strathspey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Inverness and Nairn, Moray, and Badenoch and Strathspey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Isle of Wight","Female","25","20","[c]","[c]"
"In post","2023","Psychology","Isle of Wight","Male","5","5","[c]","[c]"
"In post","2023","Psychology","Kensington & Chelsea and Hammersmith & Fulham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Kensington & Chelsea and Hammersmith & Fulham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Kent Thames Gateway","Female","30","30","33470","30940"
"In post","2023","Psychology","Kent Thames Gateway","Male","5","5","[c]","[c]"
"In post","2023","Psychology","Kingston upon Hull, City of","Female","25","25","[c]","[c]"
"In post","2023","Psychology","Kingston upon Hull, City of","Male","5","5","[c]","[c]"
"In post","2023","Psychology","Lambeth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Lambeth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Lancaster and Wyre","Female","5","5","[c]","[c]"
"In post","2023","Psychology","Lancaster and Wyre","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Leeds","Female","45","45","38280","32050"
"In post","2023","Psychology","Leeds","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Leicester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Leicestershire CC and Rutland","Female","40","40","36280","32050"
"In post","2023","Psychology","Leicestershire CC and Rutland","Male","10","10","[c]","[c]"
"In post","2023","Psychology","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Lincolnshire CC","Female","10","10","[c]","[c]"
"In post","2023","Psychology","Lincolnshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Liverpool","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Liverpool","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Manchester","Female","25","25","[c]","[c]"
"In post","2023","Psychology","Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Medway","Female","20","20","[c]","[c]"
"In post","2023","Psychology","Medway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Merton, Kingston upon Thames and Sutton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Merton, Kingston upon Thames and Sutton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Mid Lancashire","Female","15","10","[c]","[c]"
"In post","2023","Psychology","Mid Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Milton Keynes","Female","20","20","[c]","[c]"
"In post","2023","Psychology","Milton Keynes","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Monmouthshire and Newport","Female","20","15","[c]","[c]"
"In post","2023","Psychology","Monmouthshire and Newport","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","North Lanarkshire","Female","5","5","[c]","[c]"
"In post","2023","Psychology","North Lanarkshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","North Nottinghamshire","Female","20","20","[c]","[c]"
"In post","2023","Psychology","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","North and West Norfolk","Female","15","15","[c]","[c]"
"In post","2023","Psychology","North and West Norfolk","Male","5","5","[c]","[c]"
"In post","2023","Psychology","Northumberland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Northumberland","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Norwich and East Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Norwich and East Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Oxfordshire CC","Female","15","15","[c]","[c]"
"In post","2023","Psychology","Oxfordshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Perth and Kinross, and Stirling","Female","5","5","[c]","[c]"
"In post","2023","Psychology","Perth and Kinross, and Stirling","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Peterborough","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Sandwell","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Sandwell","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Sefton","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Sefton","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Sheffield","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Sheffield","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Shropshire","Female","10","10","[c]","[c]"
"In post","2023","Psychology","Shropshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Solihull","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Solihull","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Somerset CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Somerset CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","South Nottinghamshire","Female","60","60","35590","31670"
"In post","2023","Psychology","South Nottinghamshire","Male","10","10","[c]","[c]"
"In post","2023","Psychology","South Teesside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","South Teesside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","South West Wales","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","South West Wales","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","South and West Derbyshire","Female","15","15","[c]","[c]"
"In post","2023","Psychology","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Staffordshire CC","Female","95","90","34500","30940"
"In post","2023","Psychology","Staffordshire CC","Male","10","10","[c]","[c]"
"In post","2023","Psychology","Suffolk CC","Female","45","40","41830","32420"
"In post","2023","Psychology","Suffolk CC","Male","5","5","[c]","[c]"
"In post","2023","Psychology","Swansea","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Swansea","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Tower Hamlets","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Tower Hamlets","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Tyneside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Tyneside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Wakefield","Female","35","35","39170","32420"
"In post","2023","Psychology","Wakefield","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Wandsworth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Wandsworth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Warrington","Female","15","15","[c]","[c]"
"In post","2023","Psychology","Warrington","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Warwickshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Warwickshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","West Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","West Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","West Northamptonshire","Female","10","10","[c]","[c]"
"In post","2023","Psychology","West Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","West Surrey","Female","20","15","[c]","[c]"
"In post","2023","Psychology","West Surrey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","West Sussex (South West)","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","West Sussex (South West)","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Westminster","Female","10","10","[c]","[c]"
"In post","2023","Psychology","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Wiltshire","Female","35","35","37270","32420"
"In post","2023","Psychology","Wiltshire","Male","10","10","[c]","[c]"
"In post","2023","Psychology","Wirral","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Wirral","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","Worcestershire CC","Female","30","25","[c]","[c]"
"In post","2023","Psychology","Worcestershire CC","Male","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","York","Female","[c]","[c]","[c]","[c]"
"In post","2023","Psychology","York","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Aberdeen City and Aberdeenshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Aberdeen City and Aberdeenshire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Angus and Dundee City","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Angus and Dundee City","Male","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Antrim and Newtownabbey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Antrim and Newtownabbey","Male","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Ards and North Down","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Ards and North Down","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Armagh City, Banbridge and Craigavon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Armagh City, Banbridge and Craigavon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Barnet","Female","295","285","43750","41280"
"In post","2023","Science and Engineering","Barnet","Male","135","135","44300","42260"
"In post","2023","Science and Engineering","Barnsley, Doncaster and Rotherham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","355","345","41550","42620"
"In post","2023","Science and Engineering","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","2460","2410","42680","42840"
"In post","2023","Science and Engineering","Bedford","Female","5","5","[c]","[c]"
"In post","2023","Science and Engineering","Bedford","Male","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Belfast","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Belfast","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Berkshire","Female","20","20","[c]","[c]"
"In post","2023","Science and Engineering","Berkshire","Male","45","45","47990","45200"
"In post","2023","Science and Engineering","Birmingham","Female","90","80","39890","37060"
"In post","2023","Science and Engineering","Birmingham","Male","35","35","47430","43260"
"In post","2023","Science and Engineering","Bournemouth, Christchurch and Poole","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Bournemouth, Christchurch and Poole","Male","15","15","[c]","[c]"
"In post","2023","Science and Engineering","Bridgend and Neath Port Talbot","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Bridgend and Neath Port Talbot","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Brighton and Hove","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Brighton and Hove","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Bristol, City of","Female","75","70","35780","34000"
"In post","2023","Science and Engineering","Bristol, City of","Male","85","80","44090","42070"
"In post","2023","Science and Engineering","Bromley","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Bromley","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Buckinghamshire","Female","5","5","[c]","[c]"
"In post","2023","Science and Engineering","Buckinghamshire","Male","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Caithness and Sutherland, and Ross and Cromarty","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Caithness and Sutherland, and Ross and Cromarty","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Cambridgeshire CC","Female","50","50","37600","35570"
"In post","2023","Science and Engineering","Cambridgeshire CC","Male","45","45","41870","38780"
"In post","2023","Science and Engineering","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Cardiff and Vale of Glamorgan","Female","15","15","[c]","[c]"
"In post","2023","Science and Engineering","Cardiff and Vale of Glamorgan","Male","40","35","50700","49370"
"In post","2023","Science and Engineering","Causeway Coast and Glens","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Causeway Coast and Glens","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Central Bedfordshire","Male","30","30","37820","36450"
"In post","2023","Science and Engineering","Central Hampshire","Female","200","185","42780","39890"
"In post","2023","Science and Engineering","Central Hampshire","Male","700","680","45350","49260"
"In post","2023","Science and Engineering","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Cheshire West and Chester","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Cheshire West and Chester","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Chorley and West Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Chorley and West Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","City of Edinburgh","Female","5","5","[c]","[c]"
"In post","2023","Science and Engineering","City of Edinburgh","Male","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Clackmannanshire and Fife","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Clackmannanshire and Fife","Male","30","30","42970","42000"
"In post","2023","Science and Engineering","Conwy and Denbighshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Conwy and Denbighshire","Male","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Cornwall and Isles of Scilly","Female","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Cornwall and Isles of Scilly","Male","75","75","29760","25950"
"In post","2023","Science and Engineering","Coventry","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Coventry","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Croydon","Female","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Croydon","Male","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Darlington","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Darlington","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Derby","Male","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Derry City and Strabane","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Derry City and Strabane","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Devon CC","Female","245","220","39160","39650"
"In post","2023","Science and Engineering","Devon CC","Male","480","455","40500","40040"
"In post","2023","Science and Engineering","Dorset","Female","65","65","33260","30350"
"In post","2023","Science and Engineering","Dorset","Male","115","110","36520","31260"
"In post","2023","Science and Engineering","Dudley","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Dudley","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Dumfries and Galloway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Dumfries and Galloway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Durham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Durham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Ealing","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Ealing","Male","5","5","[c]","[c]"
"In post","2023","Science and Engineering","East Ayrshire and North Ayrshire mainland","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","East Ayrshire and North Ayrshire mainland","Male","10","10","[c]","[c]"
"In post","2023","Science and Engineering","East Cumbria","Female","15","15","[c]","[c]"
"In post","2023","Science and Engineering","East Cumbria","Male","5","5","[c]","[c]"
"In post","2023","Science and Engineering","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Female","15","15","[c]","[c]"
"In post","2023","Science and Engineering","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Male","135","135","46290","46300"
"In post","2023","Science and Engineering","East Kent","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","East Kent","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","East Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","East Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","East Lothian and Midlothian","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","East Lothian and Midlothian","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","East Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","East Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","East Riding of Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","East Riding of Yorkshire","Male","5","5","[c]","[c]"
"In post","2023","Science and Engineering","East Surrey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","East Surrey","Male","5","5","[c]","[c]"
"In post","2023","Science and Engineering","Enfield","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Enfield","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Essex Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Essex Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Flintshire and Wrexham","Female","20","15","[c]","[c]"
"In post","2023","Science and Engineering","Flintshire and Wrexham","Male","210","205","28660","30060"
"In post","2023","Science and Engineering","Glasgow City","Female","15","15","[c]","[c]"
"In post","2023","Science and Engineering","Glasgow City","Male","70","70","44520","43360"
"In post","2023","Science and Engineering","Gloucestershire CC","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Gloucestershire CC","Male","10","10","[c]","[c]"
"In post","2023","Science and Engineering","Greater Manchester North East","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Greater Manchester North East","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Greater Manchester South West","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Gwent Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Gwent Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Hackney and Newham","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Hackney and Newham","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Haringey and Islington","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Haringey and Islington","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Harrow and Hillingdon","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Harrow and Hillingdon","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Hartlepool and Stockton-on-Tees","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Hartlepool and Stockton-on-Tees","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Heart of Essex","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Heart of Essex","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Herefordshire, County of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Herefordshire, County of","Male","25","25","[c]","[c]"
"In post","2023","Science and Engineering","Hertfordshire CC","Female","105","100","49180","45750"
"In post","2023","Science and Engineering","Hertfordshire CC","Male","70","70","53010","54270"
"In post","2023","Science and Engineering","Hounslow and Richmond upon Thames","Female","5","5","[c]","[c]"
"In post","2023","Science and Engineering","Hounslow and Richmond upon Thames","Male","10","5","[c]","[c]"
"In post","2023","Science and Engineering","Inverness and Nairn, Moray, and Badenoch and Strathspey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Inverness and Nairn, Moray, and Badenoch and Strathspey","Male","30","25","[c]","[c]"
"In post","2023","Science and Engineering","Isle of Anglesey","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Isle of Anglesey","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Kent Thames Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Kent Thames Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Kingston upon Hull, City of","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Kingston upon Hull, City of","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Lambeth","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Lambeth","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Lancaster and Wyre","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Lancaster and Wyre","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Leeds","Female","35","30","42840","40590"
"In post","2023","Science and Engineering","Leeds","Male","30","30","42840","40790"
"In post","2023","Science and Engineering","Leicestershire CC and Rutland","Female","5","5","[c]","[c]"
"In post","2023","Science and Engineering","Leicestershire CC and Rutland","Male","35","35","40140","38710"
"In post","2023","Science and Engineering","Lewisham and Southwark","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Lewisham and Southwark","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Lincolnshire CC","Female","15","15","[c]","[c]"
"In post","2023","Science and Engineering","Lincolnshire CC","Male","140","135","38710","35800"
"In post","2023","Science and Engineering","Lisburn and Castlereagh","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Lisburn and Castlereagh","Male","5","5","[c]","[c]"
"In post","2023","Science and Engineering","Liverpool","Female","5","5","[c]","[c]"
"In post","2023","Science and Engineering","Liverpool","Male","5","5","[c]","[c]"
"In post","2023","Science and Engineering","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Female","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Male","[c]","[c]","[c]","[c]"
"In post","2023","Science and Engineering","Luton","Female","[c]","[c]","[c]","[c]"
