"Status","Year","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Legal","HM Crown Prosecution Service Inspectorate","25","25","65270","60350"
"In post","2023","Legal","HM Land Registry","285","260","50640","56190"
"In post","2023","Legal","HM Revenue and Customs (excl. agencies)","1525","1430","44670","39110"
"In post","2023","Legal","Health and Safety Executive","40","40","49460","57570"
"In post","2023","Legal","Institute for Apprenticeships and Technical Education","10","10","46580","51460"
"In post","2023","Legal","Intellectual Property Office","45","40","50990","43280"
"In post","2023","Legal","Legal Aid Agency","5","5","[c]","[c]"
"In post","2023","Legal","Maritime and Coastguard Agency","5","5","[c]","[c]"
"In post","2023","Legal","Medicines and Healthcare Products Regulatory Agency","100","100","50330","50610"
"In post","2023","Legal","Met Office","15","10","41370","45150"
"In post","2023","Legal","Ministry of Defence (excl. agencies)","35","35","67590","72050"
"In post","2023","Legal","Ministry of Justice (excl. agencies)","30","25","36640","29660"
"In post","2023","Legal","National Crime Agency","50","50","56480","63040"
"In post","2023","Legal","Office for Standards in Education, Children's Services and Skills","20","15","65420","64680"
"In post","2023","Legal","Office of Gas and Electricity Markets","95","95","62710","60310"
"In post","2023","Legal","Office of Qualifications and Examinations Regulation","15","15","59270","57900"
"In post","2023","Legal","Office of Rail and Road","15","15","64980","63730"
"In post","2023","Legal","Office of the Public Guardian","10","10","29020","25830"
"In post","2023","Legal","Registers of Scotland","20","20","51350","49870"
"In post","2023","Legal","Scottish Courts and Tribunals Service","40","35","48090","48410"
"In post","2023","Legal","Scottish Prison Service","10","10","38200","37060"
"In post","2023","Legal","Serious Fraud Office","55","55","60140","55040"
"In post","2023","Legal","The Insolvency Service","60","55","51820","52390"
"In post","2023","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2023","Legal","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Legal","UK Export Finance","40","40","66110","76120"
"In post","2023","Legal","UK Health Security Agency","10","10","55870","56740"
"In post","2023","Legal","UK Supreme Court","35","35","38750","37230"
"In post","2023","Legal","Water Services Regulation Authority","15","15","74120","74000"
"In post","2023","Legal","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","No function","Active Travel England","35","30","50240","40000"
"In post","2023","No function","Advisory, Conciliation and Arbitration Service","785","715","32090","32110"
"In post","2023","No function","Animal and Plant Health Agency","2875","2735","31250","29080"
"In post","2023","No function","Building Digital UK","5","5","[c]","[c]"
"In post","2023","No function","Cabinet Office (excl. agencies)","1775","1750","51710","55790"
"In post","2023","No function","Charity Commission","340","325","33420","30170"
"In post","2023","No function","Companies House","545","500","28370","23240"
"In post","2023","No function","Criminal Injuries Compensation Authority","335","310","27940","25830"
"In post","2023","No function","Crown Commercial Service","190","190","43170","40620"
"In post","2023","No function","Crown Office and Procurator Fiscal Service","1600","1505","29970","28700"
"In post","2023","No function","Defence Electronics and Components Agency","365","350","28870","28710"
"In post","2023","No function","Defence Equipment and Support","6460","6225","37790","34630"
"In post","2023","No function","Department for Business, Energy and Industrial Strategy (excl. agencies)","5435","5315","50690","52430"
"In post","2023","No function","Department for Digital, Culture, Media and Sport (excl. agencies)","1335","1305","48670","52760"
"In post","2023","No function","Department for Education (excl. agencies)","3380","3240","46060","41440"
"In post","2023","No function","Department for Environment, Food and Rural Affairs (excl. agencies)","3890","3760","44230","40260"
"In post","2023","No function","Department for International Trade","2555","2515","48570","42530"
"In post","2023","No function","Department for Levelling Up, Housing and Communities (excl. agencies)","2340","2280","47670","43700"
"In post","2023","No function","Department for Transport (excl. agencies)","2240","2165","50650","45580"
"In post","2023","No function","Department for Work and Pensions (excl. agencies)","63765","56420","27500","28120"
"In post","2023","No function","Department of Health and Social Care (excl. agencies)","2760","2655","50370","50830"
"In post","2023","No function","Driver and Vehicle Licensing Agency","4685","4055","23920","22500"
"In post","2023","No function","Driver and Vehicle Standards Agency","4120","3860","29130","27450"
"In post","2023","No function","Education and Skills Funding Agency","365","350","41470","37590"
"In post","2023","No function","Food Standards Agency","1165","1130","37600","33000"
"In post","2023","No function","Foreign, Commonwealth and Development Office (excl. agencies)","4255","4205","52130","53500"
"In post","2023","No function","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","No function","Government Internal Audit Agency","90","85","42220","39200"
"In post","2023","No function","HM Courts and Tribunals Service","14895","13400","26920","23000"
"In post","2023","No function","HM Land Registry","5275","4730","29810","28080"
"In post","2023","No function","HM Prison and Probation Service","65460","61685","32160","30810"
"In post","2023","No function","HM Revenue and Customs (excl. agencies)","36475","33660","32300","28130"
"In post","2023","No function","HM Treasury (excl. agencies)","1545","1520","48670","53550"
"In post","2023","No function","Health and Safety Executive","2275","2160","43760","40840"
"In post","2023","No function","Home Office","39365","36915","31950","27240"
"In post","2023","No function","Intellectual Property Office","1100","1030","38810","31750"
"In post","2023","No function","Legal Aid Agency","1160","1080","30670","25830"
"In post","2023","No function","Maritime and Coastguard Agency","965","935","34950","31660"
"In post","2023","No function","Ministry of Defence (excl. agencies)","15825","15115","33020","27140"
"In post","2023","No function","Ministry of Justice (excl. agencies)","2265","2200","43220","38920"
"In post","2023","No function","National Crime Agency","4690","4570","42280","40440"
"In post","2023","No function","National Infrastructure Commission","40","40","55010","53410"
"In post","2023","No function","National Savings and Investments","55","55","56490","45000"
"In post","2023","No function","Office for Budget Responsibility","5","5","[c]","[c]"
"In post","2023","No function","Office for Standards in Education, Children's Services and Skills","1550","1500","55000","52750"
"In post","2023","No function","Office of Gas and Electricity Markets","700","690","41790","34900"
"In post","2023","No function","Office of Qualifications and Examinations Regulation","260","250","45140","40720"
"In post","2023","No function","Office of Rail and Road","245","235","56870","57680"
"In post","2023","No function","Office of the Public Guardian","1625","1505","24600","21780"
"In post","2023","No function","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","20","20","48610","53310"
"In post","2023","No function","Office of the Secretary of State for Wales","35","30","48610","43650"
"In post","2023","No function","Planning Inspectorate","760","690","47310","48660"
"In post","2023","No function","Registers of Scotland","935","895","34050","32510"
"In post","2023","No function","Scottish Courts and Tribunals Service","1725","1560","28970","25060"
"In post","2023","No function","Scottish Prison Service","3900","3645","34710","37060"
"In post","2023","No function","Serious Fraud Office","50","50","45210","38070"
"In post","2023","No function","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2023","No function","Teaching Regulation Agency","85","80","32580","30330"
"In post","2023","No function","The Insolvency Service","1090","1020","30820","25810"
"In post","2023","No function","The National Archives","345","325","35520","31330"
"In post","2023","No function","UK Debt Management Office","30","25","73050","61080"
"In post","2023","No function","UK Health Security Agency","4560","4295","46100","40590"
"In post","2023","No function","UK Hydrographic Office","635","605","34750","34370"
"In post","2023","No function","UK Statistics Authority","2580","2100","28310","24280"
"In post","2023","No function","Vehicle Certification Agency","180","170","36840","34970"
"In post","2023","No function","Veterinary Medicines Directorate","165","160","43210","40260"
"In post","2023","No function","Water Services Regulation Authority","105","100","55490","50260"
"In post","2023","No function","Welsh Revenue Authority","35","35","43690","39690"
"In post","2023","Project Delivery","Active Travel England","10","10","50950","51650"
"In post","2023","Project Delivery","Advisory, Conciliation and Arbitration Service","85","80","43350","41070"
"In post","2023","Project Delivery","Animal and Plant Health Agency","120","110","29460","25920"
"In post","2023","Project Delivery","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Building Digital UK","115","115","48000","52760"
"In post","2023","Project Delivery","Cabinet Office (excl. agencies)","175","170","70490","59960"
"In post","2023","Project Delivery","Central Civil Service Fast Stream","260","260","30730","30130"
"In post","2023","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","55","50","34230","30350"
"In post","2023","Project Delivery","Charity Commission","5","5","[c]","[c]"
"In post","2023","Project Delivery","Companies House","25","25","43170","44460"
"In post","2023","Project Delivery","Competition and Markets Authority","435","420","62350","57680"
"In post","2023","Project Delivery","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Crown Commercial Service","15","15","55560","52990"
"In post","2023","Project Delivery","Defence Electronics and Components Agency","5","5","[c]","[c]"
"In post","2023","Project Delivery","Defence Equipment and Support","2145","2065","42680","40270"
"In post","2023","Project Delivery","Defence Science and Technology Laboratory","1220","1170","41850","39890"
"In post","2023","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","54060","55350"
"In post","2023","Project Delivery","Department for Digital, Culture, Media and Sport (excl. agencies)","10","10","[c]","[c]"
"In post","2023","Project Delivery","Department for Education (excl. agencies)","1035","1005","49380","51360"
"In post","2023","Project Delivery","Department for International Trade","90","90","48790","52000"
"In post","2023","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","165","160","48930","49700"
"In post","2023","Project Delivery","Department for Transport (excl. agencies)","435","430","55400","55740"
"In post","2023","Project Delivery","Department for Work and Pensions (excl. agencies)","1405","1285","40120","34970"
"In post","2023","Project Delivery","Department of Health and Social Care (excl. agencies)","40","40","47080","50830"
"In post","2023","Project Delivery","Driver and Vehicle Licensing Agency","50","45","33810","27260"
"In post","2023","Project Delivery","Driver and Vehicle Standards Agency","45","45","36780","31800"
"In post","2023","Project Delivery","Education and Skills Funding Agency","15","15","44240","44620"
"In post","2023","Project Delivery","Estyn","100","95","66510","78500"
"In post","2023","Project Delivery","FCDO Services","80","80","43610","34720"
"In post","2023","Project Delivery","Food Standards Agency","40","40","44770","41250"
"In post","2023","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","990","950","52340","53500"
"In post","2023","Project Delivery","Government Actuary's Department","5","5","[c]","[c]"
"In post","2023","Project Delivery","Government Internal Audit Agency","10","10","53760","51350"
"In post","2023","Project Delivery","Government Legal Department","15","15","51830","52790"
"In post","2023","Project Delivery","HM Courts and Tribunals Service","40","40","39990","37680"
"In post","2023","Project Delivery","HM Land Registry","195","190","39150","39520"
"In post","2023","Project Delivery","HM Revenue and Customs (excl. agencies)","5450","5205","48120","42510"
"In post","2023","Project Delivery","HM Treasury (excl. agencies)","20","20","40500","35590"
"In post","2023","Project Delivery","Health and Safety Executive","70","65","43190","40790"
"In post","2023","Project Delivery","Home Office","60","60","53360","54260"
"In post","2023","Project Delivery","Institute for Apprenticeships and Technical Education","40","40","48210","51460"
"In post","2023","Project Delivery","Intellectual Property Office","50","45","46730","42000"
"In post","2023","Project Delivery","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Medicines and Healthcare Products Regulatory Agency","625","610","52620","46870"
"In post","2023","Project Delivery","Met Office","410","395","39370","39650"
"In post","2023","Project Delivery","Ministry of Defence (excl. agencies)","2760","2700","45460","41800"
"In post","2023","Project Delivery","Ministry of Justice (excl. agencies)","355","350","43760","43650"
"In post","2023","Project Delivery","National Crime Agency","105","100","45710","47380"
"In post","2023","Project Delivery","National Savings and Investments","30","30","53380","54480"
"In post","2023","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Office of Gas and Electricity Markets","65","65","50360","45000"
"In post","2023","Project Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Planning Inspectorate","15","15","42020","41560"
"In post","2023","Project Delivery","Queen Elizabeth II Centre","20","20","38830","38500"
"In post","2023","Project Delivery","Registers of Scotland","20","20","44620","49870"
"In post","2023","Project Delivery","Rural Payments Agency","165","155","39050","37300"
"In post","2023","Project Delivery","Scottish Prison Service","15","15","54110","57150"
"In post","2023","Project Delivery","Serious Fraud Office","10","10","[c]","[c]"
"In post","2023","Project Delivery","Standards and Testing Agency","130","125","42690","39970"
"In post","2023","Project Delivery","Submarine Delivery Agency","1710","1670","43280","41200"
"In post","2023","Project Delivery","The Insolvency Service","55","55","44000","43980"
"In post","2023","Project Delivery","UK Debt Management Office","5","5","[c]","[c]"
"In post","2023","Project Delivery","UK Export Finance","10","10","52850","42950"
"In post","2023","Project Delivery","UK Hydrographic Office","10","10","52090","52490"
"In post","2023","Project Delivery","UK Space Agency","205","205","48240","44020"
"In post","2023","Project Delivery","UK Statistics Authority","280","270","42910","37760"
"In post","2023","Project Delivery","Valuation Office Agency","45","45","48100","40540"
"In post","2023","Project Delivery","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Water Services Regulation Authority","15","15","50490","48660"
"In post","2023","Project Delivery","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2023","Project Delivery","Wilton Park","40","40","37600","31620"
"In post","2023","Property","Cabinet Office (excl. agencies)","85","80","54600","53020"
"In post","2023","Property","Central Civil Service Fast Stream","40","40","29690","30130"
"In post","2023","Property","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Property","Companies House","10","10","[c]","[c]"
"In post","2023","Property","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2023","Property","Crown Commercial Service","5","5","[c]","[c]"
"In post","2023","Property","Defence Electronics and Components Agency","15","15","31600","27640"
"In post","2023","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","15","15","55080","55120"
"In post","2023","Property","Department for Education (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","425","405","40470","37300"
"In post","2023","Property","Department for International Trade","5","5","[c]","[c]"
"In post","2023","Property","Department for Transport (excl. agencies)","35","30","51080","50340"
"In post","2023","Property","Department for Work and Pensions (excl. agencies)","300","285","44270","39540"
"In post","2023","Property","Department of Health and Social Care (excl. agencies)","10","10","60320","50830"
"In post","2023","Property","Driver and Vehicle Licensing Agency","65","60","31460","31660"
"In post","2023","Property","Driver and Vehicle Standards Agency","55","50","33110","31660"
"In post","2023","Property","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Property","FCDO Services","235","235","43760","42150"
"In post","2023","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Property","Government Legal Department","15","15","45110","44120"
"In post","2023","Property","Government Property Agency","395","385","50340","51020"
"In post","2023","Property","HM Courts and Tribunals Service","120","115","43340","37680"
"In post","2023","Property","HM Land Registry","20","20","42020","39520"
"In post","2023","Property","HM Revenue and Customs (excl. agencies)","270","260","43220","40790"
"In post","2023","Property","Health and Safety Executive","15","15","32890","30340"
"In post","2023","Property","Home Office","75","70","32990","25750"
"In post","2023","Property","Intellectual Property Office","30","30","30430","25040"
"In post","2023","Property","Maritime and Coastguard Agency","10","10","[c]","[c]"
"In post","2023","Property","Medicines and Healthcare Products Regulatory Agency","25","25","39140","29840"
"In post","2023","Property","Met Office","20","20","35100","33050"
"In post","2023","Property","Ministry of Defence (excl. agencies)","2055","1995","33850","33990"
"In post","2023","Property","Ministry of Justice (excl. agencies)","460","450","43180","41510"
"In post","2023","Property","National Crime Agency","45","40","46770","45610"
"In post","2023","Property","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office for Standards in Education, Children's Services and Skills","10","10","32340","27140"
"In post","2023","Property","Office of Gas and Electricity Markets","20","20","44150","35010"
"In post","2023","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2023","Property","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2023","Property","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Property","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2023","Property","Registers of Scotland","15","10","36060","32510"
"In post","2023","Property","Scottish Courts and Tribunals Service","20","20","45290","48410"
"In post","2023","Property","Scottish Prison Service","235","230","34600","32930"
"In post","2023","Property","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2023","Property","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2023","Property","The National Archives","15","15","40300","36310"
"In post","2023","Property","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2023","Property","UK Health Security Agency","20","20","42470","39690"
"In post","2023","Property","UK Hydrographic Office","5","5","[c]","[c]"
"In post","2023","Property","UK Statistics Authority","15","15","38490","37760"
"In post","2023","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2023","Property","Valuation Office Agency","3665","3430","35030","32130"
"In post","2023","Property","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2023","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Property","Wilton Park","5","5","[c]","[c]"
"In post","2023","Security","Cabinet Office (excl. agencies)","1045","1000","33810","32640"
"In post","2023","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2023","Security","Companies House","[c]","[c]","[c]","[c]"
"In post","2023","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2023","Security","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2023","Security","Defence Equipment and Support","70","70","38480","38790"
"In post","2023","Security","Defence Science and Technology Laboratory","110","105","40540","39890"
"In post","2023","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","20","20","45120","39990"
"In post","2023","Security","Department for Digital, Culture, Media and Sport (excl. agencies)","10","10","47640","45580"
"In post","2023","Security","Department for Education (excl. agencies)","15","15","52330","51610"
"In post","2023","Security","Department for International Trade","25","25","47830","43180"
"In post","2023","Security","Department for Levelling Up, Housing and Communities (excl. agencies)","5","5","[c]","[c]"
"In post","2023","Security","Department for Transport (excl. agencies)","120","120","48230","44820"
"In post","2023","Security","Department for Work and Pensions (excl. agencies)","150","140","32300","28120"
"In post","2023","Security","Department of Health and Social Care (excl. agencies)","60","55","47200","41950"
"In post","2023","Security","Driver and Vehicle Licensing Agency","120","120","28570","25650"
"In post","2023","Security","Driver and Vehicle Standards Agency","30","30","38710","35800"
"In post","2023","Security","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2023","Security","Estyn","[c]","[c]","[c]","[c]"
"In post","2023","Security","FCDO Services","345","335","37580","35520"
"In post","2023","Security","Food Standards Agency","10","10","37000","35960"
"In post","2023","Security","Foreign, Commonwealth and Development Office (excl. agencies)","540","530","50400","45280"
"In post","2023","Security","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2023","Security","Government Legal Department","10","10","41080","35260"
"In post","2023","Security","HM Prison and Probation Service","10","10","40730","37680"
"In post","2023","Security","HM Revenue and Customs (excl. agencies)","215","205","45100","42510"
"In post","2023","Security","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2023","Security","Home Office","345","330","33510","29980"
"In post","2023","Security","Intellectual Property Office","15","15","43920","45290"
"In post","2023","Security","Legal Aid Agency","5","5","[c]","[c]"
"In post","2023","Security","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2023","Security","Met Office","20","20","43940","43650"
"In post","2023","Security","Ministry of Defence (excl. agencies)","6340","6210","31960","27500"
"In post","2023","Security","Ministry of Justice (excl. agencies)","85","85","47980","43650"
"In post","2023","Security","National Crime Agency","100","100","42650","40440"
"In post","2023","Security","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2023","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2023","Security","Office of Gas and Electricity Markets","25","25","65910","70500"
"In post","2023","Security","Office of the Public Guardian","15","15","28960","25830"
"In post","2023","Security","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2023","Security","Registers of Scotland","10","10","[c]","[c]"
"In post","2023","Security","Serious Fraud Office","5","5","[c]","[c]"
"In post","2023","Security","Submarine Delivery Agency","40","40","41000","39000"
"In post","2023","Security","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2023","Security","UK Export Finance","5","5","[c]","[c]"
"In post","2023","Security","UK Hydrographic Office","15","15","39430","43890"
"In post","2023","Security","UK Space Agency","10","10","[c]","[c]"
"In post","2023","Security","UK Statistics Authority","60","55","41390","38440"
"In post","2023","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Accountant in Bankruptcy","125","115","34020","31940"
"In post","2023","Unknown","Building Digital UK","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Central Civil Service Fast Stream","900","900","30630","30130"
"In post","2023","Unknown","Crown Prosecution Service","60","60","51100","55850"
"In post","2023","Unknown","Defence Science and Technology Laboratory","2290","2215","42690","39890"
"In post","2023","Unknown","Department for International Trade","25","25","45650","35010"
"In post","2023","Unknown","Department for Work and Pensions (excl. agencies)","1295","1225","41870","39150"
"In post","2023","Unknown","Department of Health and Social Care (excl. agencies)","50","50","47240","41950"
"In post","2023","Unknown","Disclosure Scotland","365","345","31330","24890"
"In post","2023","Unknown","Education Scotland","360","350","59670","65280"
"In post","2023","Unknown","FCDO Services","60","55","36310","29530"
"In post","2023","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Food Standards Scotland","290","280","38730","34730"
"In post","2023","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","200","195","49880","51460"
"In post","2023","Unknown","Forestry and Land Scotland","1105","1065","34400","32220"
"In post","2023","Unknown","HM Revenue and Customs (excl. agencies)","20","20","38630","35000"
"In post","2023","Unknown","Institute for Apprenticeships and Technical Education","210","205","48510","51460"
"In post","2023","Unknown","Medicines and Healthcare Products Regulatory Agency","85","80","52420","54090"
"In post","2023","Unknown","Met Office","20","20","65790","56680"
"In post","2023","Unknown","Ministry of Defence (excl. agencies)","35","35","36640","36460"
"In post","2023","Unknown","National Records of Scotland","455","430","38070","34730"
"In post","2023","Unknown","Northern Ireland Office","135","130","48180","43650"
"In post","2023","Unknown","Office of Gas and Electricity Markets","150","150","42530","35700"
"In post","2023","Unknown","Office of the Scottish Charity Regulator","45","40","39790","33520"
"In post","2023","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","100","95","52630","52360"
"In post","2023","Unknown","Revenue Scotland","85","85","43190","38330"
"In post","2023","Unknown","Royal Fleet Auxiliary","1695","1695","41950","40010"
"In post","2023","Unknown","Scottish Fiscal Commission","25","25","50710","49860"
"In post","2023","Unknown","Scottish Forestry","220","210","38240","38210"
"In post","2023","Unknown","Scottish Government (excl. agencies)","9175","8800","47100","42860"
"In post","2023","Unknown","Scottish Housing Regulator","50","50","55540","51110"
"In post","2023","Unknown","Scottish Prison Service","20","15","36940","37060"
"In post","2023","Unknown","Scottish Public Pensions Agency","370","345","32070","27740"
"In post","2023","Unknown","Social Security Scotland","4025","3855","31460","29100"
"In post","2023","Unknown","Student Awards Agency for Scotland","265","255","33190","29450"
"In post","2023","Unknown","Transport Scotland","530","515","48720","49860"
"In post","2023","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2023","Unknown","Welsh Government (excl. agencies)","5970","5640","43720","39690"
"In post","2023","Unknown","Welsh Revenue Authority","5","5","[c]","[c]"
"Leaver CS","2023","Analysis","Building Digital UK","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Central Civil Service Fast Stream","10","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Centre for Environment, Fisheries and Aquaculture Science","35","[c]","34020","29750"
"Leaver CS","2023","Analysis","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Competition and Markets Authority","20","[c]","48140","50160"
"Leaver CS","2023","Analysis","Defence Science and Technology Laboratory","190","[c]","35990","38070"
"Leaver CS","2023","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","20","[c]","37120","33160"
"Leaver CS","2023","Analysis","Department for Digital, Culture, Media and Sport (excl. agencies)","15","[c]","46320","53030"
"Leaver CS","2023","Analysis","Department for Education (excl. agencies)","35","[c]","37780","38050"
"Leaver CS","2023","Analysis","Department for International Trade","25","[c]","37300","31800"
"Leaver CS","2023","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","30","[c]","36390","32250"
"Leaver CS","2023","Analysis","Department for Work and Pensions (excl. agencies)","15","[c]","34150","35490"
"Leaver CS","2023","Analysis","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Food Standards Agency","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Government Actuary's Department","30","[c]","61690","43420"
"Leaver CS","2023","Analysis","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","HM Land Registry","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","HM Revenue and Customs (excl. agencies)","40","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","HM Treasury (excl. agencies)","45","[c]","34070","23210"
"Leaver CS","2023","Analysis","Health and Safety Executive","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Home Office","55","[c]","33120","26400"
"Leaver CS","2023","Analysis","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Ministry of Defence (excl. agencies)","35","[c]","29450","26350"
"Leaver CS","2023","Analysis","Ministry of Justice (excl. agencies)","40","[c]","41440","35410"
"Leaver CS","2023","Analysis","National Savings and Investments","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Office for Budget Responsibility","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Office for Standards in Education, Children's Services and Skills","20","[c]","36230","34730"
"Leaver CS","2023","Analysis","Office of Gas and Electricity Markets","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Rural Payments Agency","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","UK Statistics Authority","140","[c]","31750","30880"
"Leaver CS","2023","Analysis","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Water Services Regulation Authority","5","[c]","[c]","[c]"
"Leaver CS","2023","Analysis","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Building Digital UK","15","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Cabinet Office (excl. agencies)","35","[c]","61460","54700"
"Leaver CS","2023","Commercial","Central Civil Service Fast Stream","10","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Crown Commercial Service","25","[c]","34660","35290"
"Leaver CS","2023","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Defence Equipment and Support","70","[c]","43600","37760"
"Leaver CS","2023","Commercial","Defence Science and Technology Laboratory","10","[c]","34990","39890"
"Leaver CS","2023","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","5","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Department for Digital, Culture, Media and Sport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Commercial","Department for Education (excl. agencies)","30","[c]","42240","38490"
