"Status","Year","Disability","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2023","Declared disabled","Counter Fraud","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","East of England","East Anglia","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","East of England","Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","London","Inner London - East","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","London","Inner London - West","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","London","Outer London - South","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","London","Outer London - West and North West","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","North East (England)","Northumberland, and Tyne and Wear","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","North East (England)","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","North West (England)","Greater Manchester","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Northern Ireland","Northern Ireland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Scotland","Eastern Scotland","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Scotland","Southern Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Scotland","West Central Scotland","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","South East (England)","Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","South East (England)","Surrey, East and West Sussex","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","South West (England)","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","South West (England)","Devon","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Wales","East Wales","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","West Midlands (England)","West Midlands","5","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Counter Fraud","Yorkshire and The Humber","West Yorkshire","10","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","East of England","East Anglia","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","East of England","Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2023","Declared disabled","Debt","London","Inner London - East","[c]","[c]","[c]","[c]"
