"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","10","10","[c]","[c]"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","Hertfordshire CC","15","15","50400","41540"
"In post","2023","Commercial","East of England","Bedfordshire and Hertfordshire","Luton","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","Cambridgeshire CC","60","55","39360","36470"
"In post","2023","Commercial","East of England","East Anglia","North and West Norfolk","5","5","[c]","[c]"
"In post","2023","Commercial","East of England","East Anglia","Norwich and East Norfolk","115","105","47230","40620"
"In post","2023","Commercial","East of England","East Anglia","Peterborough","25","20","54040","40970"
"In post","2023","Commercial","East of England","East Anglia","Suffolk CC","20","20","44410","45230"
"In post","2023","Commercial","East of England","Essex","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","East of England","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","Hackney and Newham","15","10","57070","59710"
"In post","2023","Commercial","London","Inner London - East","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","Lambeth","10","10","[c]","[c]"
"In post","2023","Commercial","London","Inner London - East","Tower Hamlets","200","195","47890","43650"
"In post","2023","Commercial","London","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Inner London - West","Westminster","1430","1410","61380","56200"
"In post","2023","Commercial","London","Outer London - East and North East","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","Enfield","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - East and North East","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - South","Croydon","85","85","51730","44650"
"In post","2023","Commercial","London","Outer London - South","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","London","Outer London - West and North West","Barnet","15","15","46110","40880"
"In post","2023","Commercial","London","Outer London - West and North West","Harrow and Hillingdon","5","5","[c]","[c]"
"In post","2023","Commercial","London","Outer London - West and North West","Hounslow and Richmond upon Thames","40","40","32700","24810"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","Northumberland","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","Sunderland","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North East (England)","Northumberland, and Tyne and Wear","Tyneside","70","65","47250","39580"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","Darlington","50","50","45480","40230"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","Durham","15","15","42290","43490"
"In post","2023","Commercial","North East (England)","Tees Valley and Durham","South Teesside","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cheshire","Warrington","25","25","42650","38640"
"In post","2023","Commercial","North West (England)","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Cumbria","West Cumbria","15","15","42200","42620"
"In post","2023","Commercial","North West (England)","Greater Manchester","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Greater Manchester","Greater Manchester South West","175","170","44720","41780"
"In post","2023","Commercial","North West (England)","Greater Manchester","Manchester","185","185","51650","51360"
"In post","2023","Commercial","North West (England)","Lancashire","Blackpool","45","40","55340","56000"
"In post","2023","Commercial","North West (England)","Lancashire","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Lancashire","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","North West (England)","Lancashire","Mid Lancashire","5","5","[c]","[c]"
"In post","2023","Commercial","North West (England)","Merseyside","East Merseyside","20","20","43850","38120"
"In post","2023","Commercial","North West (England)","Merseyside","Liverpool","255","250","43960","40450"
"In post","2023","Commercial","North West (England)","Merseyside","Sefton","30","30","37770","32800"
"In post","2023","Commercial","North West (England)","Merseyside","Wirral","5","5","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2023","Commercial","Northern Ireland","Northern Ireland","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
