"Status","Year","Disability","Function_of_post","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Declared disabled","Communications","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Digital, Culture, Media and Sport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Education (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","London","10","10","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for International Trade","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Transport (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Work and Pensions (excl. agencies)","London","15","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department for Work and Pensions (excl. agencies)","Outside London","20","15","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2023","Declared disabled","Communications","Driver and Vehicle Licensing Agency","Outside London","5","5","[c]","[c]"
"In post","2023","Declared disabled","Communications","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
